Date,First Dose Daily Avg,Second Dose Daily Avg
2021-09-25,241174.2857142857,331186.28571428574
2021-09-24,251969,340932.14285714284
2021-09-23,266283.5714285714,357313
2021-09-22,312037.28571428574,384650.4285714286
2021-09-21,324609.4285714286,388908.5714285714
2021-09-20,333474.71428571426,392160.28571428574
2021-09-19,334194.71428571426,384300.14285714284
2021-09-18,341420.28571428574,386661.85714285716
2021-09-17,341909.5714285714,381816.14285714284
2021-09-16,342155.85714285716,379014.14285714284
2021-09-15,333841.4285714286,370090.71428571426
2021-09-14,341903.5714285714,375783.85714285716
2021-09-13,333228,365396.85714285716
2021-09-12,321703.5714285714,350714.4285714286
2021-09-11,312941.4285714286,337160.4285714286
2021-09-10,320337.28571428574,337347.5714285714
2021-09-09,341947.14285714284,351301
2021-09-08,356661.5714285714,357805
2021-09-07,366220.14285714284,362566.71428571426
2021-09-06,375108.71428571426,370424.28571428574
2021-09-05,392751.28571428574,388237.5714285714
2021-09-04,416671.71428571426,409567.71428571426
2021-09-03,426668.14285714284,413010.4285714286
2021-09-02,421423.4285714286,400418.28571428574
2021-09-01,432389.28571428574,403806.71428571426
2021-08-31,426311,393410.28571428574
2021-08-30,432008.71428571426,391892.5714285714
2021-08-29,430026.14285714284,385512.85714285716
2021-08-28,434921.71428571426,384929.5714285714
2021-08-27,436200.71428571426,378281.28571428574
2021-08-26,439161.14285714284,368305.14285714284
2021-08-25,453559,369586
2021-08-24,444607.28571428574,352864.71428571426
2021-08-23,446176.85714285716,342799.5714285714
2021-08-22,476723.28571428574,351366.14285714284
2021-08-21,466072.5714285714,330837.14285714284
2021-08-20,477188,328544.71428571426
2021-08-19,483143.5714285714,319734.85714285716
2021-08-18,463998.28571428574,297251.5714285714
2021-08-17,468990.14285714284,290813.14285714284
2021-08-16,481777.5714285714,290711.85714285716
2021-08-15,460283.4285714286,269225.28571428574
2021-08-14,476937.4285714286,269678.4285714286
2021-08-13,473859.14285714284,254416.2857142857
2021-08-12,472312.85714285716,245309
2021-08-11,494847.85714285716,252931.42857142858
2021-08-10,503733.5714285714,254356.57142857142
2021-08-09,486331.5714285714,247815.42857142858
2021-08-08,481107.85714285716,245722.57142857142
2021-08-07,480619.5714285714,250887.42857142858
2021-08-06,465039.14285714284,247739.42857142858
2021-08-05,464778,252664.2857142857
2021-08-04,445691,249563.57142857142
2021-08-03,446300.14285714284,252706
2021-08-02,441329,249471.42857142858
2021-08-01,432399.28571428574,247385.2857142857
2021-07-31,428474.71428571426,245878.85714285713
2021-07-30,418518,249829.14285714287
2021-07-29,389962.71428571426,242107.2857142857
2021-07-28,382105.71428571426,241856.7142857143
2021-07-27,360234.14285714284,240114
2021-07-26,344518.71428571426,242807.2857142857
2021-07-25,347669.5714285714,256177.57142857142
2021-07-24,316767.71428571426,247396.7142857143
2021-07-23,307808.28571428574,249842.57142857142
2021-07-22,297201.5714285714,252232.42857142858
2021-07-21,283470.14285714284,252647
2021-07-20,275859.28571428574,279501.85714285716
2021-07-19,278902.5714285714,282070.14285714284
2021-07-18,272247.5714285714,280849.5714285714
2021-07-17,275505,291374
2021-07-16,268861.14285714284,293849.5714285714
2021-07-15,271244.4285714286,302996
2021-07-14,277009.85714285716,316906.4285714286
2021-07-13,261393.85714285713,291296.4285714286
2021-07-12,251176.57142857142,282143
2021-07-11,245713.14285714287,277542.5714285714
2021-07-10,246722.42857142858,281695.4285714286
2021-07-09,270313.28571428574,339076.4285714286
2021-07-08,271090,343280.71428571426
2021-07-07,317334.4285714286,431926.4285714286
2021-07-06,396266,490917.71428571426
2021-07-05,427418.85714285716,535443.5714285715
2021-07-04,450215.28571428574,613581.8571428572
2021-07-03,462292,685472.2857142857
2021-07-02,451361.5714285714,662906
2021-07-01,429677,661795.2857142857
2021-06-30,389406.71428571426,585340.4285714285
2021-06-29,329305,539284.1428571428
2021-06-28,324601.5714285714,532873.1428571428
2021-06-27,310425.5714285714,480145.5714285714
2021-06-26,305239.28571428574,437011.28571428574
2021-06-25,314414,450935.85714285716
2021-06-24,351973.85714285716,499064.14285714284
2021-06-23,413641.5714285714,618739.8571428572
2021-06-22,422989,665186.8571428572
2021-06-21,444054.4285714286,732381
2021-06-20,463972.4285714286,820917.7142857143
2021-06-19,477918.5714285714,858012.4285714285
2021-06-18,504557,909067.5714285715
2021-06-17,492036.4285714286,882190.4285714285
2021-06-16,428446.4285714286,782287.7142857143
2021-06-15,420365.71428571426,760915.7142857143
2021-06-14,417690.71428571426,738668.2857142857
2021-06-13,429608.85714285716,707414.1428571428
2021-06-12,445651.5714285714,715196.4285714285
2021-06-11,431844.14285714284,662880.4285714285
2021-06-10,476191.85714285716,705519.1428571428
2021-06-09,474263,689265.7142857143
2021-06-08,463122.14285714284,653504.5714285715
2021-06-07,440468,593561.1428571428
2021-06-06,442749.85714285716,554572
2021-06-05,445015.28571428574,527707.7142857143
2021-06-04,478187.4285714286,560403.2857142857
2021-06-03,481649.28571428574,553532
2021-06-02,522789.71428571426,615023
2021-06-01,587353,684116.7142857143
2021-05-31,617090.7142857143,711133.7142857143
2021-05-30,632079.7142857143,724734.8571428572
2021-05-29,669464.1428571428,773183.5714285715
2021-05-28,729970.4285714285,822042
2021-05-27,791556.7142857143,880675.4285714285
2021-05-26,842849.1428571428,913809.4285714285
2021-05-25,858978.1428571428,946130.7142857143
2021-05-24,868659.8571428572,969653.2857142857
2021-05-23,882454.2857142857,1002064.8571428572
2021-05-22,893346.7142857143,1034027.8571428572
2021-05-21,860926.2857142857,1074230.4285714286
2021-05-20,793369.8571428572,1088265.4285714286
2021-05-19,741235.8571428572,1115140.5714285714
2021-05-18,702442.1428571428,1125619.142857143
2021-05-17,715329.1428571428,1185349.142857143
2021-05-16,716471.1428571428,1248782.4285714286
2021-05-15,700266,1305928.142857143
2021-05-14,690756.1428571428,1340531
2021-05-13,737423.7142857143,1437240.142857143
2021-05-12,774774.4285714285,1471558
2021-05-11,793377.8571428572,1486824.4285714286
2021-05-10,757452.8571428572,1429608.5714285714
2021-05-09,724274.8571428572,1354798.857142857
2021-05-08,725185.2857142857,1314888
2021-05-07,788853.2857142857,1352514.5714285714
2021-05-06,809814.2857142857,1322526
2021-05-05,838557.7142857143,1328873.142857143
2021-05-04,877544.8571428572,1345876.2857142857
2021-05-03,935438.7142857143,1376490.2857142857
2021-05-02,1009790.2857142857,1428903.2857142857
